"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cnig.gouv.fr/194.5.173.97","443","INFO","HTTP","",""
"pre_128cipher","cnig.gouv.fr/194.5.173.97","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cnig.gouv.fr/194.5.173.97","443","OK","not offered","",""
"SSLv3","cnig.gouv.fr/194.5.173.97","443","OK","not offered","",""
"TLS1","cnig.gouv.fr/194.5.173.97","443","INFO","not offered","",""
"TLS1_1","cnig.gouv.fr/194.5.173.97","443","INFO","not offered","",""
"TLS1_2","cnig.gouv.fr/194.5.173.97","443","OK","offered","",""
"TLS1_3","cnig.gouv.fr/194.5.173.97","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","cnig.gouv.fr/194.5.173.97","443","INFO","not offered","",""
"cipherlist_NULL","cnig.gouv.fr/194.5.173.97","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cnig.gouv.fr/194.5.173.97","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cnig.gouv.fr/194.5.173.97","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cnig.gouv.fr/194.5.173.97","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cnig.gouv.fr/194.5.173.97","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cnig.gouv.fr/194.5.173.97","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","cnig.gouv.fr/194.5.173.97","443","OK","offered","",""
"cipherlist_STRONG_FS","cnig.gouv.fr/194.5.173.97","443","OK","offered","",""
"cipher_order-tls1_2","cnig.gouv.fr/194.5.173.97","443","OK","server","",""
"cipherorder_TLSv1_2","cnig.gouv.fr/194.5.173.97","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","cnig.gouv.fr/194.5.173.97","443","OK","server","",""
"FS","cnig.gouv.fr/194.5.173.97","443","OK","offered","",""
"FS_ciphers","cnig.gouv.fr/194.5.173.97","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","cnig.gouv.fr/194.5.173.97","443","OK","prime256v1","",""
"TLS_extensions","cnig.gouv.fr/194.5.173.97","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'heartbeat/#15'","",""
"TLS_session_ticket","cnig.gouv.fr/194.5.173.97","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","cnig.gouv.fr/194.5.173.97","443","INFO","yes","",""
"sessionresumption_ticket","cnig.gouv.fr/194.5.173.97","443","INFO","not supported","",""
"sessionresumption_ID","cnig.gouv.fr/194.5.173.97","443","INFO","supported","",""
"TLS_timestamp","cnig.gouv.fr/194.5.173.97","443","INFO","random","",""
"cert_compression","cnig.gouv.fr/194.5.173.97","443","INFO","N/A","",""
"clientAuth","cnig.gouv.fr/194.5.173.97","443","INFO","none","",""
"cert_numbers","cnig.gouv.fr/194.5.173.97","443","INFO","1","",""
"cert_signatureAlgorithm","cnig.gouv.fr/194.5.173.97","443","OK","SHA256 with RSA","",""
"cert_keySize","cnig.gouv.fr/194.5.173.97","443","OK","RSA 4096 bits (exponent is 65537)","",""
"cert_keyUsage","cnig.gouv.fr/194.5.173.97","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","cnig.gouv.fr/194.5.173.97","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","cnig.gouv.fr/194.5.173.97","443","INFO","03642D41094046BE95AA22ADB663155EA39C","",""
"cert_serialNumberLen","cnig.gouv.fr/194.5.173.97","443","INFO","18","",""
"cert_fingerprintSHA1","cnig.gouv.fr/194.5.173.97","443","INFO","F4AAE42BC51FC248104E0DED3EF3DE46BE19EB40","",""
"cert_fingerprintSHA256","cnig.gouv.fr/194.5.173.97","443","INFO","D90C620E0F451D58E0CBA7537F3FE7B8C96DA3632A488D38FFC8C8CA1B0D6E6F","",""
"cert","cnig.gouv.fr/194.5.173.97","443","INFO","-----BEGIN CERTIFICATE-----\nMIIF5DCCBMygAwIBAgISA2QtQQlARr6VqiKttmMVXqOcMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzEwMDkxMjM4MjhaFw0yNDAxMDcxMjM4MjdaMBcxFTATBgNVBAMTDGNuaWcuZ291di5mcjCCAiIwDQYJKoZIhvcNAQEBBQADggIPADCCAgoCggIBAM0gOnDuWJtyMrqY1B4jmRrWZyyTU3r8saqhjKqw3R0gCLdUm79vZL5zcnxtEQyanbtoLlOmPN+ttnqNttsUq+7C1bp1CIf9z/a83lL9rKjmEXJHIy/36aLUXIVtJhyYo7/mgOK1kYi3yfGnao1YhRFnW6rc+OOo1juqQdYsSYZEYeRBiMRwoMgcOs3oDuVWRNErz39Na0vOVcNiC8McZKXB4bmZBzHdg0sG8Yb+UTrlS6D5TfVptNPG55WZCN24/DzE20E06a9ve3RrGk8Rcb/wf7xAkGHqvhR6AV1O3RK+sdV1uudKFlw4FPim22CeIfdFR7tfpb/J2QYNNWSaAAB2SlpmblQOLSWZabyYAncIYPpYT6ARcRMckTpbGM+aToGBBk0jqgBHMs9Ueg0wJl7EyzBNNTGcYSgXLpIdKOS0jL5XLhBIYfgAr9LKZue0mcaIdT4n2kG8mHU1WAPFsrLY3X42u7IMHE5btF/6TVybEeDVZFqgf8yXSQAQph0IAr116C3AnjmopHMJ+xQm1ISVX52dX2jkgmONJupwD2/JNEq9lziM/DpDAHA4jwxA5rUrURlhKW1OHWu0wuRGyw3AdnIQoHIPvns0Va29bBKu6LkCgEyxHbJoYQ0F5lie6YnftA8yZqabP6h5BBUBF4L7/cxKIq7OLwcVqaVgLpTNAgMBAAGjggINMIICCTAOBgNVHQ8BAf8EBAMCBaAwHQYDVR0lBBYwFAYIKwYBBQUHAwEGCCsGAQUFBwMCMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFHyOH/zsx/D64HRemlTXrRgT59qhMB8GA1UdIwQYMBaAFBQusxe3WFbLrlAJQOYfr52LFMLGMFUGCCsGAQUFBwEBBEkwRzAhBggrBgEFBQcwAYYVaHR0cDovL3IzLm8ubGVuY3Iub3JnMCIGCCsGAQUFBzAChhZodHRwOi8vcjMuaS5sZW5jci5vcmcvMBcGA1UdEQQQMA6CDGNuaWcuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQMGCisGAQQB1nkCBAIEgfQEgfEA7wB1ANq2v2s/tbYin5vCu1xr6HCRcWy7UYSFNL2kPTBI1/urAAABixSpGWYAAAQDAEYwRAIgNHUudVu1avuWuXYBY5LlDA8M6+ij904kmZp1rEIHkrkCIF5w0eg7rTjkc9jqct3hUkXqoAb/Xjf9r8LRSYUila8RAHYAO1N3dT4tuYBOizBbBv5AO2fYT8P0x70ADS1yb+H61BcAAAGLFKkZXAAABAMARzBFAiEAvkMvlxKp9yMzvCPF8GT6dXlclCh9I0Vy52rdhDLPrbMCIDFN3bW+mkxuxLRuLv48P3+kD15sV44srh3irET109dYMA0GCSqGSIb3DQEBCwUAA4IBAQBUs1iUaPfye/XxdKKjTC91rTKGA8lqTai16ekjYnSvge0YRqSsTjFgqpIBwfZu6G/8qTZKnulRWxFea7yWsBVRQPC2ZKJnqoFQ8d3EEf5obLcbI0Kx52SAoYsgas7etLpt8jbZ0uM1EBjrFCNHWS7cnwW1qNG52NxWNSaMbOZsJyBOdUDJb4Tb4CiVKEqm3ul2HceZgY/9cjMGwnHqLdQ82v3oes02lue8bAUg4B5LphEEcBtSDo6dwBJCy4Gg6BgYNEDjfVR/5n8PcU8XC8SMvLkviusyga3qv/kuIWbhGMFOWl656SBy8Yw9EkWwfAxx324W0SKBMZ3Tv+HABwa8\n-----END CERTIFICATE-----","",""
"cert_commonName","cnig.gouv.fr/194.5.173.97","443","OK","cnig.gouv.fr","",""
"cert_commonName_wo_SNI","cnig.gouv.fr/194.5.173.97","443","INFO","nowhere.din.developpement-durable.gouv.fr","",""
"cert_subjectAltName","cnig.gouv.fr/194.5.173.97","443","INFO","cnig.gouv.fr","",""
"cert_trust","cnig.gouv.fr/194.5.173.97","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","cnig.gouv.fr/194.5.173.97","443","OK","passed.","",""
"cert_certificatePolicies_EV","cnig.gouv.fr/194.5.173.97","443","INFO","no","",""
"cert_expirationStatus","cnig.gouv.fr/194.5.173.97","443","OK","56 >= 30 days","",""
"cert_notBefore","cnig.gouv.fr/194.5.173.97","443","INFO","2023-10-09 12:38","",""
"cert_notAfter","cnig.gouv.fr/194.5.173.97","443","OK","2024-01-07 12:38","",""
"cert_extlifeSpan","cnig.gouv.fr/194.5.173.97","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","cnig.gouv.fr/194.5.173.97","443","INFO","not present","",""
"cert_crlDistributionPoints","cnig.gouv.fr/194.5.173.97","443","INFO","--","",""
"cert_ocspURL","cnig.gouv.fr/194.5.173.97","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","cnig.gouv.fr/194.5.173.97","443","LOW","not offered","",""
"cert_mustStapleExtension","cnig.gouv.fr/194.5.173.97","443","INFO","--","",""
"DNS_CAArecord","cnig.gouv.fr/194.5.173.97","443","LOW","--","",""
"certificate_transparency","cnig.gouv.fr/194.5.173.97","443","OK","yes (certificate extension)","",""
"certs_countServer","cnig.gouv.fr/194.5.173.97","443","INFO","3","",""
"certs_list_ordering_problem","cnig.gouv.fr/194.5.173.97","443","LOW","yes","",""
"cert_caIssuers","cnig.gouv.fr/194.5.173.97","443","INFO","R3 (Let's Encrypt from US)","",""
