"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.agenda-2030.fr/37.235.89.236","443","INFO","HTTP","",""
"pre_128cipher","www.agenda-2030.fr/37.235.89.236","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.agenda-2030.fr/37.235.89.236","443","OK","not offered","",""
"SSLv3","www.agenda-2030.fr/37.235.89.236","443","OK","not offered","",""
"TLS1","www.agenda-2030.fr/37.235.89.236","443","INFO","not offered","",""
"TLS1_1","www.agenda-2030.fr/37.235.89.236","443","INFO","not offered","",""
"TLS1_2","www.agenda-2030.fr/37.235.89.236","443","OK","offered","",""
"TLS1_3","www.agenda-2030.fr/37.235.89.236","443","OK","offered with final","",""
"ALPN","www.agenda-2030.fr/37.235.89.236","443","INFO","http/1.1","",""
"cipherlist_NULL","www.agenda-2030.fr/37.235.89.236","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.agenda-2030.fr/37.235.89.236","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.agenda-2030.fr/37.235.89.236","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.agenda-2030.fr/37.235.89.236","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.agenda-2030.fr/37.235.89.236","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.agenda-2030.fr/37.235.89.236","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.agenda-2030.fr/37.235.89.236","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.agenda-2030.fr/37.235.89.236","443","OK","offered","",""
"cipher_order-tls1_2","www.agenda-2030.fr/37.235.89.236","443","OK","server","",""
"cipherorder_TLSv1_2","www.agenda-2030.fr/37.235.89.236","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384","",""
"cipher_order","www.agenda-2030.fr/37.235.89.236","443","OK","server","",""
"FS","www.agenda-2030.fr/37.235.89.236","443","OK","offered","",""
"FS_ciphers","www.agenda-2030.fr/37.235.89.236","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA","",""
"FS_ECDHE_curves","www.agenda-2030.fr/37.235.89.236","443","OK","prime256v1","",""
"TLS_extensions","www.agenda-2030.fr/37.235.89.236","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.agenda-2030.fr/37.235.89.236","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.agenda-2030.fr/37.235.89.236","443","INFO","yes","",""
"sessionresumption_ticket","www.agenda-2030.fr/37.235.89.236","443","INFO","not supported","",""
"sessionresumption_ID","www.agenda-2030.fr/37.235.89.236","443","INFO","supported","",""
"TLS_timestamp","www.agenda-2030.fr/37.235.89.236","443","INFO","random","",""
"certificate_compression","www.agenda-2030.fr/37.235.89.236","443","INFO","none","",""
"clientAuth","www.agenda-2030.fr/37.235.89.236","443","INFO","none","",""
"cert_numbers","www.agenda-2030.fr/37.235.89.236","443","INFO","1","",""
"cert_signatureAlgorithm","www.agenda-2030.fr/37.235.89.236","443","OK","ECDSA with SHA384","",""
"cert_keySize","www.agenda-2030.fr/37.235.89.236","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","www.agenda-2030.fr/37.235.89.236","443","INFO","Digital Signature","",""
"cert_extKeyUsage","www.agenda-2030.fr/37.235.89.236","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.agenda-2030.fr/37.235.89.236","443","INFO","03AF3CBB4743811543AB0460CAA55CE7C931","",""
"cert_serialNumberLen","www.agenda-2030.fr/37.235.89.236","443","INFO","18","",""
"cert_fingerprintSHA1","www.agenda-2030.fr/37.235.89.236","443","INFO","AAAE2196C87B55ED9B8D2C8CA96745CAF26C2DFA","",""
"cert_fingerprintSHA256","www.agenda-2030.fr/37.235.89.236","443","INFO","1047E9B141EE63A16F6321E7345098113F1D3D83D570D2DC91F5DAF54D83A867","",""
