"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","INFO","HTTP","",""
"pre_128cipher","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","OK","not offered","",""
"SSLv3","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","OK","not offered","",""
"TLS1","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","INFO","not offered","",""
"TLS1_1","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","INFO","not offered","",""
"TLS1_2","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","OK","offered","",""
"TLS1_3","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","OK","offered with final","",""
"ALPN","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","INFO","http/1.1","",""
"cipherlist_NULL","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","OK","offered","",""
"cipher_order-tls1_2","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.deforestationimportee.ecologie.gouv.fr/37.235.89.249","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256","",""
