"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","HTTP","",""
"pre_128cipher","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.projets-environnement.gouv.fr/52.211.64.165","443","OK","not offered","",""
"SSLv3","www.projets-environnement.gouv.fr/52.211.64.165","443","OK","not offered","",""
"TLS1","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","not offered","",""
"TLS1_1","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","not offered","",""
"TLS1_2","www.projets-environnement.gouv.fr/52.211.64.165","443","OK","offered","",""
"TLS1_3","www.projets-environnement.gouv.fr/52.211.64.165","443","OK","offered with final","",""
"ALPN_HTTP2","www.projets-environnement.gouv.fr/52.211.64.165","443","OK","h2","",""
"ALPN","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","http/1.1","",""
"cipherlist_NULL","www.projets-environnement.gouv.fr/52.211.64.165","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.projets-environnement.gouv.fr/52.211.64.165","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.projets-environnement.gouv.fr/52.211.64.165","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.projets-environnement.gouv.fr/52.211.64.165","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.projets-environnement.gouv.fr/52.211.64.165","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.projets-environnement.gouv.fr/52.211.64.165","443","OK","offered","",""
"cipher_order-tls1_2","www.projets-environnement.gouv.fr/52.211.64.165","443","OK","server","",""
"cipherorder_TLSv1_2","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.projets-environnement.gouv.fr/52.211.64.165","443","OK","server","",""
"FS","www.projets-environnement.gouv.fr/52.211.64.165","443","OK","offered","",""
"FS_ciphers","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.projets-environnement.gouv.fr/52.211.64.165","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","yes","",""
"sessionresumption_ticket","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","not supported","",""
"sessionresumption_ID","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","not supported","",""
"TLS_timestamp","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","random","",""
"certificate_compression","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","none","",""
"clientAuth","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","none","",""
"cert_numbers","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","1","",""
"cert_signatureAlgorithm","www.projets-environnement.gouv.fr/52.211.64.165","443","OK","SHA256 with RSA","",""
"cert_keySize","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","0453407021331F85BF797E41E07B3218B04D","",""
"cert_serialNumberLen","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","18","",""
"cert_fingerprintSHA1","www.projets-environnement.gouv.fr/52.211.64.165","443","INFO","720AF0E43C35801B83A792BC6B2388369B41A8F6","",""
