"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","INFO","HTTP","",""
"pre_128cipher","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","INFO","No 128 cipher limit bug","",""
"SSLv2","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","OK","not offered","",""
"SSLv3","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","OK","not offered","",""
"TLS1","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","INFO","not offered","",""
"TLS1_1","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","INFO","not offered","",""
"TLS1_2","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","OK","offered","",""
"TLS1_3","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","OK","offered with final","",""
"ALPN","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","INFO","http/1.1","",""
"cipherlist_NULL","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","OK","not offered","","CWE-327"
"cipherlist_LOW","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","OK","offered","",""
"cipherlist_STRONG_FS","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","OK","offered","",""
"cipher_order-tls1_2","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","OK","server","",""
"cipherorder_TLSv1_2","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","OK","server","",""
"FS","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","OK","offered","",""
"FS_ciphers","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","cpp.alerte-sante-environnement-deontologie.fr/37.235.89.249","443","INFO","no -- no lifetime advertised","",""
